Z,Regular price,Sale price
100001339,  12.88 ,  5.95 
100001340,  30.26 ,  22.14 
100001341,  56.32 ,  45.39 
100001342,  38.95 ,  32.29 
100001343,  41.85 ,  40.98 
100001344,  40.88 ,  32.55 
100001345,  18.68 ,  16.14 
100001346,  33.16 ,  32.87 
100001347,  64.82 ,  49.86 
100001348,  45.71 ,  38.63 
100001350,  27.31 ,  24.46 
100001352,  31.22 ,  19.18 
100001353,  58.26 ,  38.36 
100001354,  85.29 ,  57.53 
100001355,  25.19 ,  19.37 
100001356,  44.34 ,  24.83 
100001357,  15.77 ,  15.77 
